Account Code,Class,Weight  (oz.),Pieces,Total Cost
8393,NOCLASS,0,0,0
8393,NOCLASS,4,0,0
8393,NOCLASS,16,0,0
8393,1CA5DFlt,1,0,0
8393,1CA5DFlt,2,0,0
8393,1CA5DFlt,3,0,0
8393,1CA5DFlt,4,4,7.12
8393,1CA5DFlt,5,0,0
8393,1CA5DFlt,6,0,0
8393,1CA5DFlt,7,0,0
8393,1CA5DFlt,8,0,0
8393,1CA5DFlt,9,0,0
8393,1CA5DFlt,10,0,0
8393,1ClFlat,1,0,0
8393,1ClFlat,2,1,1.9
8393,1ClFlat,3,2,4.34
8393,1ClFlat,4,1,2.44
8393,1ClFlat,5,0,0
8393,1ClFlat,6,0,0
8393,1ClFlat,7,0,0
8393,1ClFlat,8,1,3.56
8393,1ClFlat,9,1,3.84
8393,1ClFlat,10,0,0
8393,1ClFlat,11,0,0
8393,1ClFlat,12,0,0
8393,1ClFlat,13,0,0
8393,1CMAADCL,1,321,215.712
8393,1CMAADCL,2,0,0
8393,1CMAADCL,3,0,0
8393,1CNAPres,1,0,0
8393,1CSPiece,1,13,67.82
8393,1CSPiece,2,0,0
8393,1CSPiece,3,0,0
8393,1CSPiece,3,0,0
8393,1stClNMLtr,1,0,0
8393,1stClNMLtr,2,0,0
8393,OtherCls,1120,0,0
8393,PkgSRetG,32,0,0
8393,PkgSRetG,80,0,0
8393,Priority,32,0,0
8393,Priority,48,0,0
0001,NOCLASS,0,0,0
5130,NOCLASS,0,0,0
5129,NOCLASS,0,0,0
5129,1CA5DFlt,3,0,0
5129,1CA5DFlt,4,0,0
5129,1CA5DFlt,5,0,0
5129,1ClFlat,3,0,0
5129,1ClFlat,5,0,0
5129,1CMAADCL,3,0,0
5129,1CNAPres,1,0,0
0011,NOCLASS,0,0,0
0486,NOCLASS,0,0,0
5120,NOCLASS,0,0,0
5235,NOCLASS,0,0,0
5235,1CA5DFlt,4,0,0
5235,1CA5DFlt,9,0,0
5235,1ClFlat,9,0,0
5235,Int1stLt,1,0,0
0383,NOCLASS,0,0,0
0383,1CA5DFlt,2,0,0
0383,1CA5DFlt,3,0,0
0383,1CA5DFlt,4,1,1.78
0383,1CA5DFlt,5,0,0
0383,1CA5DFlt,6,1,2.34
0383,1CA5DFlt,7,0,0
0383,1CA5DFlt,8,0,0
0383,1CA5DFlt,9,0,0
0383,1CA5DFlt,10,0,0
0383,1ClFlat,3,0,0
0383,1ClFlat,4,0,0
0383,1ClFlat,5,0,0
0383,1ClFlat,6,0,0
0383,1ClFlat,8,0,0
0383,1CMAADCL,0,0,0
0383,1CMAADCL,1,210,141.12
0383,1CNAPres,1,0,0
0383,1CNAPres,2,102,69.972
0383,1CSPiece,1,0,0
0383,OtherCls,1120,0,0
0088,NOCLASS,0,0,0
0088,1CA5DFlt,1,0,0
0088,1CA5DFlt,2,0,0
0088,1CA5DFlt,3,0,0
0088,1CA5DFlt,4,0,0
0088,1CA5DFlt,5,0,0
0088,1CA5DFlt,6,0,0
0088,1CA5DFlt,7,0,0
0088,1CA5DFlt,8,0,0
0088,1CA5DFlt,9,0,0
0088,1CA5DFlt,11,0,0
0088,1ClFlat,1,0,0
0088,1ClFlat,2,0,0
0088,1ClFlat,3,0,0
0088,1ClFlat,4,0,0
0088,1ClFlat,5,0,0
0088,1ClFlat,6,0,0
0088,1ClFlat,7,0,0
0088,1ClFlat,8,0,0
0088,1ClFlat,9,0,0
0088,1ClFlat,10,0,0
0088,1ClFlat,11,0,0
0088,1ClFlat,12,0,0
0088,1ClFlat,13,0,0
0088,1CMAADCL,1,0,0
0088,1CMAADCL,2,0,0
0088,1CSPiece,1,0,0
0088,1CSPiece,2,0,0
0088,1CSPiece,3,0,0
0088,Int1stLt,1,0,0
0088,OtherCls,1120,0,0
0086,NOCLASS,0,2067,0
0440,NOCLASS,0,0,0
5179,NOCLASS,0,0,0
5179,1ClFlat,1,0,0
5179,1ClFlat,4,0,0
5179,1CMAADCL,1,1,0.672
5179,1CMAADCL,2,0,0
5179,1CSPiece,1,0,0
5179,1CSPiece,2,0,0
5237,NOCLASS,0,0,0
5747,NOCLASS,0,0,0
5239,1ClFlat,4,0,0
5239,1CNAPres,1,0,0
5239,1CSPiece,1,2,1.35
5239,Int1stFl,15,0,0
5239,Int1stS,7,0,0
5239,Int1stS,12,0,0
5239,Int1stS,20,0,0
5239,Int1stS,28,0,0
5239,Int1stS,36,0,0
5239,Int1stS,44,0,0
5239,Int1stS,60,0,0
5239,OtherCls,1120,0,0
5239,PkgSLiSP,16,0,0
5239,PkgSLiSP,32,0,0
5239,PkgSLiSP,48,0,0
5239,PkgSLiSP,64,0,0
5239,PkgSLiSP,80,0,0
5239,PkgSLiSP,112,0,0
0111,NOCLASS,0,0,0
0174,NOCLASS,0,0,0
5240,1ClFlat,2,0,0
5240,1ClFlat,3,0,0
5240,1ClFlat,5,0,0
5240,1CSPiece,1,0,0
0703,NOCLASS,0,0,0
0703,1CSPiece,1,0,0
0703,OtherCls,1120,0,0
0387,1CSPiece,1,0,0
0387,1CSPiece,2,0,0
0387,OtherCls,1120,0,0
5182,OtherCls,1120,0,0
5175,1CAAADCL,1,0,0
5175,1CAAADCL,2,0,0
5175,1CAAADCL,3,0,0
5175,1ClFlat,1,0,0
5175,1ClFlat,2,0,0
5175,1ClFlat,3,1,2.17
5175,1ClFlat,4,0,0
5175,1ClFlat,5,0,0
5175,1CMAADCL,1,191,128.352
5175,1CNAPres,1,0,0
5175,1CSPiece,1,0,0
5175,1CSPiece,2,0,0
5175,1CSPiece,3,0,0
5175,Int1stLt,1,0,0
5175,OtherCls,1120,0,0
5021,1ClFlat,2,0,0
5017,NOCLASS,16,0,0
5017,1CA5DFlt,1,0,0
5017,1CA5DFlt,2,0,0
5017,1CA5DFlt,3,0,0
5017,1CA5DFlt,4,0,0
5017,1CA5DFlt,5,0,0
5017,1CA5DFlt,6,0,0
5017,1CA5DFlt,7,0,0
5017,1CA5DFlt,8,0,0
5017,1CA5DFlt,9,0,0
5017,1CA5DFlt,10,0,0
5017,1ClFlat,3,0,0
5017,1ClFlat,5,0,0
5017,1ClFlat,6,0,0
5017,1ClFlat,7,0,0
5006,NOCLASS,0,0,0
5006,NOCLASS,4,0,0
5006,NOCLASS,12,0,0
5006,NOCLASS,16,0,0
5006,1ClFlat,1,0,0
5006,1ClFlat,2,1,1.9
5006,1ClFlat,3,0,0
5006,1ClFlat,4,7,17.08
5006,1ClFlat,5,0,0
5006,1ClFlat,6,2,6
5006,1ClFlat,7,0,0
5006,1ClFlat,8,0,0
