Customer,Customer Code,Parent Co,Parent Co Number
01132100,6103,Hallmark,88
01134000,6104,Hallmark,88
01149010,6107,Hallmark,88
01155053,6109,Hallmark,88
01155113,6110,Hallmark,88
05171000,6165,Hallmark,88
100700000,6167,Hallmark,88
100710093,6100,Hallmark,88
100710094,6168,Hallmark,88
100710108,6101,Hallmark,88
100710344,6108,Hallmark,88
100731600,6102,Hallmark,88
100744010,6105,Hallmark,88
100747010,6106,Hallmark,88
100755550,6111,Hallmark,88
100755553,6112,Hallmark,88
100757675,6113,Hallmark,88
100760000,6114,Hallmark,88
100760200,6115,Hallmark,88
100760212,6116,Hallmark,88
100760460,6117,Hallmark,88
100760500,6118,Hallmark,88
100760739,6119,Hallmark,88
100760750,6120,Hallmark,88
100760759,6121,Hallmark,88
100760901,6122,Hallmark,88
100760902,6123,Hallmark,88
100760903,6124,Hallmark,88
100760910,6125,Hallmark,88
100761001,6126,Hallmark,88
100761015,6127,Hallmark,88
100763010,6128,Hallmark,88
100764200,6129,Hallmark,88
100766010,6130,Hallmark,88
100766016,6131,Hallmark,88
100766024,6132,Hallmark,88
100770300,6133,Hallmark,88
100770343,6134,Hallmark,88
100770600,6135,Hallmark,88
100774601,6136,Hallmark,88
100779500,6137,Hallmark,88
100910238,6138,Hallmark,88
100961017,6139,Hallmark,88
101110071,6140,Hallmark,88
101110075,6141,Hallmark,88
101136760,6142,Hallmark,88
101150001,6143,Hallmark,88
101150013,6144,Hallmark,88
101150049,6145,Hallmark,88
101150054,6146,Hallmark,88
101150119,6147,Hallmark,88
101150201,6148,Hallmark,88
101150852,6149,Hallmark,88
101151302,6150,Hallmark,88
101151350,6151,Hallmark,88
101151356,6152,Hallmark,88
101157455,6153,Hallmark,88
101157456,6154,Hallmark,88
101161905,6155,Hallmark,88
101166040,6156,Hallmark,88
101170426,6157,Hallmark,88
101174602,6158,Hallmark,88
101987147,6159,Hallmark,88
102385630,6160,Hallmark,88
102385641,6161,Hallmark,88
102385655,6162,Hallmark,88
102550951,6163,Hallmark,88
102575971,6164,Hallmark,88
141987344,6166,Hallmark,88
Hallmark,88,,
HALLMARK BUSINESS EXPRESSIONS,310,Hallmark,88
Hallmark Cards,372,Hallmark,88
HALLMARK CARDS,601,Hallmark,88
Hallmark Cards -,859,Hallmark,88
HALLMARK CARDS - BONNIE SMITH,367,Hallmark,88
HALLMARK CARDS - KATHY MALONE,380,Hallmark,88
HALLMARK CARDS - LLOYD PARKER,356,Hallmark,88
HALLMARK CARDS - MICHAEL BROWN,379,Hallmark,88
HALLMARK CARDS DIANE BARDO,349,Hallmark,88
HALLMARK CARDS HEATHER KIMMEL,338,Hallmark,88
HALLMARK CARDS- M. GOLLADAY,401,Hallmark,88
HALLMARK CARDS ORVILLE TROUT,276,Hallmark,88
HALLMARK CARDS VINCE MAGERS,422,Hallmark,88
"Hallmark Cards, Inc.",488,Hallmark,88
Hallmark Cards-Benefits,851,Hallmark,88
Hallmark Cards--Benefits Lea Robert,497,Hallmark,88
HALLMARK CARDS-BRENDA SCOTT,714,Hallmark,88
Hallmark Cards--Brian Watkins,430,Hallmark,88
Hallmark Cards--Cheryl,411,Hallmark,88
HALLMARK CARDS-DIANA COOK,680,Hallmark,88
Hallmark Cards--Jackie Pruitt,678,Hallmark,88
Hallmark Cards-Jeanette Webb,389,Hallmark,88
Hallmark Cards--Jeanette Webb,385,Hallmark,88
Hallmark Cards--Judy Vroom,420,Hallmark,88
Hallmark Cards--Kelli Calton,85,Hallmark,88
Hallmark Cards-Leslie Michel,640,Hallmark,88
Hallmark Cards--Nancy Gross,715,Hallmark,88
"Hallmark Retail,LLC-Cindy See",721,Hallmark,88
Hallmark--Flats,6170,Hallmark,88
Hallmark--Kevin Hamilton,5312,Hallmark,88
Hallmark--Letters,6169,Hallmark,88
HALLMARK-MIKE FRAZIER,339,Hallmark,88
HALLMARK-Payroll Dept.,89,Hallmark,88
American Royal Center - 4654,4654,City of Kansas City Missouri,730
KCMO - 551000 ? Housing Administrat,4808,City of Kansas City Missouri,730
KCMO Water Services Department,748,City of Kansas City Missouri,730
KCMO-001002-Fireman's Retirement-45,4501,City of Kansas City Missouri,730
KCMO-001003-Credit union-4502,4502,City of Kansas City Missouri,730
KCMO-011000-Mayor's office-4511,4511,City of Kansas City Missouri,730
KCMO-011011-Heather Hall-4706,4706,City of Kansas City Missouri,730
KCMO-011012-Dan Fowler-4708,4708,City of Kansas City Missouri,730
KCMO-011013-Melissa J Robinson-4710,4710,City of Kansas City Missouri,730
KCMO-011014-Eric Bunch-4712,4712,City of Kansas City Missouri,730
1st Kansas Credit Union,5722,,
KCMO-011015-Ryana Parks-Shaw-4714,4714,City of Kansas City Missouri,730
KCMO-011016-Kevin McManus-4716,4716,City of Kansas City Missouri,730
KCMO-011021-Kevin O'Neill-4705,4705,City of Kansas City Missouri,730
KCMO-011022-Teresa Loar-4707,4707,City of Kansas City Missouri,730
KCMO-011023-Brandon Ellington-4709,4709,City of Kansas City Missouri,730
KCMO-011024-Katheryn Shields-4711,4711,City of Kansas City Missouri,730
"KCMO-011025-Lee Barnes, Jr-4713",4713,City of Kansas City Missouri,730
KCMO-011026-Andrea Bough-4715,4715,City of Kansas City Missouri,730
KCMO-011500-City Council Office-451,4512,City of Kansas City Missouri,730
KCMO-021500-City Clerk's Office-453,4532,City of Kansas City Missouri,730
KCMO-031500-City Auditors Office-45,4559,City of Kansas City Missouri,730
KCMO-071000-GS - Administration-469,4695,City of Kansas City Missouri,730
KCMO-071200-GS City Architect-4796,4796,City of Kansas City Missouri,730
KCMO-071410-City Employee Safety -4,4517,City of Kansas City Missouri,730
KCMO-071710-GS-Building Maintenance,4738,City of Kansas City Missouri,730
KCMO-071800-Duplicating Services-45,4520,City of Kansas City Missouri,730
KCMO-071850-Records Management-4521,4521,City of Kansas City Missouri,730
KCMO-072100-Purchasing (Procurement,4717,City of Kansas City Missouri,730
KCMO-101000-City Managers Office-45,4504,City of Kansas City Missouri,730
KCMO-101012-Mayor's Christmas Tree,4503,City of Kansas City Missouri,730
KCMO-101030-City Manager Internatio,4741,City of Kansas City Missouri,730
KCMO-101040-Business Assistance Cen,4766,City of Kansas City Missouri,730
KCMO-101060-City Manager Justice Pr,4742,City of Kansas City Missouri,730
KCMO-101100-Management & Budget PIA,4505,City of Kansas City Missouri,730
KCMO-101200-Action Center Office-45,4506,City of Kansas City Missouri,730
KCMO-101435-City Manager Environm Q,4743,City of Kansas City Missouri,730
KCMO-101440- Environmental Complian,4744,City of Kansas City Missouri,730
KCMO-101500-City Communications Off,4507,City of Kansas City Missouri,730
KCMO-102000-City Mgr-Emergency Mgmt,4745,City of Kansas City Missouri,730
KCMO-102000-CM - Emergency Manageme,4777,City of Kansas City Missouri,730
KCMO-102115-Contract Compliance-MBE,4727,City of Kansas City Missouri,730
KCMO-102115-Human Relations Adminis,4625,City of Kansas City Missouri,730
KCMO-102130-KC Go-4510,4510,City of Kansas City Missouri,730
KCMO-102150-CM Human Rights-4765,4765,City of Kansas City Missouri,730
KCMO-102570-City Manager Youth Advo,4685,City of Kansas City Missouri,730
KCMO-105056 -CM-Enviromental Qualit,4779,City of Kansas City Missouri,730
KCMO-105056-City Manager-EECBG Gran,4774,City of Kansas City Missouri,730
KCMO-105310-CM Small Business-4746,4746,City of Kansas City Missouri,730
KCMO-121000-Finance Director's Offi,4513,City of Kansas City Missouri,730
KCMO-121050-Finance Account's-4514,4514,City of Kansas City Missouri,730
KCMO-121100-Budget Office-4515,4515,City of Kansas City Missouri,730
KCMO-121200-Finance Revenue Divisio,4516,City of Kansas City Missouri,730
KCMO-121450-Treasury Division-4519,4519,City of Kansas City Missouri,730
KCMO-121460-Finance-Development Fin,4721,City of Kansas City Missouri,730
KCMO-131500-Law-Legal Services-4523,4523,City of Kansas City Missouri,730
KCMO-132000-Law-Prosecutor-4700,4700,City of Kansas City Missouri,730
KCMO-132010-Domestic Violence-4524,4524,City of Kansas City Missouri,730
KCMO-141000-Human Resources Adminis,4525,City of Kansas City Missouri,730
KCMO-141700-Human Resources Edu.  &,4526,City of Kansas City Missouri,730
KCMO-141750-Human Resources Tuition,4703,City of Kansas City Missouri,730
KCMO-142110-Human Resources Benefit,4527,City of Kansas City Missouri,730
KCMO-142200-City Retirement-4500,4500,City of Kansas City Missouri,730
KCMO-142330-Human Resources Compens,4528,City of Kansas City Missouri,730
KCMO-142340-Human Resources Recruit,4529,City of Kansas City Missouri,730
KCMO-142350-Human Resources Labor &,4530,City of Kansas City Missouri,730
KCMO-142355-Human Resources-EEOC Ad,4739,City of Kansas City Missouri,730
KCMO-181000-Information Technology,4686,City of Kansas City Missouri,730
KCMO-183020-Information Services-45,4531,City of Kansas City Missouri,730
KCMO-2210-892545 Land Development,4854,City of Kansas City Missouri,730
KCMO-231000-Fire Administration-453,4533,City of Kansas City Missouri,730
KCMO-231010-Fire Human Resources-45,4534,City of Kansas City Missouri,730
KCMO-231020-Fire Financial Services,4535,City of Kansas City Missouri,730
KCMO-231021-Fire Payroll-4536,4536,City of Kansas City Missouri,730
KCMO-231022-Fire Storeroom-4537,4537,City of Kansas City Missouri,730
KCMO-231300-Fire Community Services,4538,City of Kansas City Missouri,730
KCMO-231320-Fire Investigators offi,4540,City of Kansas City Missouri,730
KCMO-231330-Fire Inspectors Office-,4541,City of Kansas City Missouri,730
KCMO-231340-Fire Educators Office-4,4542,City of Kansas City Missouri,730
KCMO-231400-Fire Tech. Support Offi,4543,City of Kansas City Missouri,730
KCMO-231405 Logistics,4819,City of Kansas City Missouri,730
KCMO-231410-Fire Communications Off,4544,City of Kansas City Missouri,730
KCMO-231420-Fire Equipment Office-4,4545,City of Kansas City Missouri,730
KCMO-231440 Systems,4820,City of Kansas City Missouri,730
KCMO-231450 Fleet,4821,City of Kansas City Missouri,730
KCMO-231500-Fire Professional Burea,4546,City of Kansas City Missouri,730
KCMO-231510-Fire Training-4547,4547,City of Kansas City Missouri,730
KCMO-232000-Fire Emergency Operatio,4548,City of Kansas City Missouri,730
KCMO-232005-Fire Airport Rescue-454,4549,City of Kansas City Missouri,730
KCMO-232100-Fire Haz Mat Team-4550,4550,City of Kansas City Missouri,730
KCMO-232200-Technical Rescue-4551,4551,City of Kansas City Missouri,730
KCMO-232403-Fire Emergency Medical,4552,City of Kansas City Missouri,730
KCMO-233100-Fire Marshall's Office,4539,City of Kansas City Missouri,730
KCMO-233310-Ambulance Accounts Rece,4802,City of Kansas City Missouri,730
KCMO-251000-Codes Administration-45,4553,City of Kansas City Missouri,730
KCMO-252010-Codes-4554,4554,City of Kansas City Missouri,730
KCMO-252020-Codes-4555,4555,City of Kansas City Missouri,730
KCMO-252030-Codes-4556,4556,City of Kansas City Missouri,730
KCMO-252040-Codes Plans-4557,4557,City of Kansas City Missouri,730
KCMO-272000-Municipal Court-4558,4558,City of Kansas City Missouri,730
KCMO-501000-Health Director/Adminis,4560,City of Kansas City Missouri,730
KCMO-501001-Health-Admin. Financial,4725,City of Kansas City Missouri,730
KCMO-501010-Health Operations-4561,4561,City of Kansas City Missouri,730
KCMO-501020-Health-4562,4562,City of Kansas City Missouri,730
KCMO-501025-Health Planning & Resea,4563,City of Kansas City Missouri,730
KCMO-501140-Health Ambulance Servic,4564,City of Kansas City Missouri,730
KCMO-501400-Health Lab Services-456,4565,City of Kansas City Missouri,730
KCMO-502000-Health Records-4566,4566,City of Kansas City Missouri,730
KCMO-502000-Health Vital Records-45,4567,City of Kansas City Missouri,730
KCMO-502090-Summer Food Program-456,4568,City of Kansas City Missouri,730
KCMO-502100-Health Child Health-456,4569,City of Kansas City Missouri,730
KCMO-502105-Health First Steps Prog,4570,City of Kansas City Missouri,730
KCMO-502106-Health Child Special Ne,4571,City of Kansas City Missouri,730
KCMO-502115-Health MCH-4574,4574,City of Kansas City Missouri,730
KCMO-502124-Health WIC-4575,4575,City of Kansas City Missouri,730
KCMO-502130-Health School Age Child,4576,City of Kansas City Missouri,730
KCMO-502141-Infant Mortality-4577,4577,City of Kansas City Missouri,730
KCMO-502142-Health WIC-4578,4578,City of Kansas City Missouri,730
KCMO-502145-Health Core Public Func,4579,City of Kansas City Missouri,730
KCMO-502155-Health Healthy Start Pr,4580,City of Kansas City Missouri,730
KCMO-502157-Health Father's Initiat,4581,City of Kansas City Missouri,730
KCMO-502162-Hope for the Children-4,4726,City of Kansas City Missouri,730
KCMO-502163 Nurse Family Partner Pr,4822,City of Kansas City Missouri,730
KCMO-502180-Health Lead Poisoning-4,4582,City of Kansas City Missouri,730
KCMO-502183-Health Lead--Safe-4583,4583,City of Kansas City Missouri,730
KCMO-502184-Campain Lead Safe KC-45,4584,City of Kansas City Missouri,730
KCMO-502190-Health MCH Information-,4586,City of Kansas City Missouri,730
KCMO-502191-Health MCH Information-,4587,City of Kansas City Missouri,730
KCMO-502200-Health Environmental Ha,4588,City of Kansas City Missouri,730
KCMO-502205-Health Rat Control-4589,4589,City of Kansas City Missouri,730
KCMO-502210-Health Food Inspection-,4590,City of Kansas City Missouri,730
KCMO-502213-Healthy Homes Rental In,4806,City of Kansas City Missouri,730
KCMO-502225-Health Food Handler-475,4751,City of Kansas City Missouri,730
KCMO-502230-Health Air Quality-4591,4591,City of Kansas City Missouri,730
KCMO-502238-PM 2.5 Monitoring-4592,4592,City of Kansas City Missouri,730
KCMO-502310-Health Education-4593,4593,City of Kansas City Missouri,730
KCMO-502311-Health Minority Outreac,4594,City of Kansas City Missouri,730
KCMO-502315-MCH Education-4595,4595,City of Kansas City Missouri,730
KCMO-502331-Cardivascular Health-45,4597,City of Kansas City Missouri,730
KCMO-502333-Health Commision-4748,4748,City of Kansas City Missouri,730
KCMO-502333-Health Diabets today-45,4598,City of Kansas City Missouri,730
KCMO-502345-Health Focus-4600,4600,City of Kansas City Missouri,730
KCMO-502350-Health Eldercare-4601,4601,City of Kansas City Missouri,730
KCMO-502380-Health Education-4602,4602,City of Kansas City Missouri,730
KCMO-502400-Communicable Disease Pr,4603,City of Kansas City Missouri,730
KCMO-502402-Health Immunization-457,4572,City of Kansas City Missouri,730
KCMO-502409-STD-State-4605,4605,City of Kansas City Missouri,730
KCMO-502410 Sexually Transmitted Di,4606,City of Kansas City Missouri,730
KCMO-502410-Health HPV Grant-4801,4801,City of Kansas City Missouri,730
KCMO-502420-R White Maintenance of,4608,City of Kansas City Missouri,730
34 Star Publishing Inc,9501,,
KCMO-502421 HIV Services,4823,City of Kansas City Missouri,730
KCMO-502425-Health Communicable dis,4610,City of Kansas City Missouri,730
KCMO-502429-Health Aids Drug Reimbu,4611,City of Kansas City Missouri,730
KCMO-502440-Health Ryan White Relie,4612,City of Kansas City Missouri,730
KCMO-502444-Planning Council-4615,4615,City of Kansas City Missouri,730
KCMO-502445-Title 1 Administration-,4616,City of Kansas City Missouri,730
KCMO-502446-Title One Quality-4617,4617,City of Kansas City Missouri,730
KCMO-502450-Health-CDP/PHP-4618,4618,City of Kansas City Missouri,730
KCMO-502460-BT Core Capacity-4619,4619,City of Kansas City Missouri,730
KCMO-502500-Health MCH Case Assessm,4620,City of Kansas City Missouri,730
KCMO-502505-Health MCH Manage-4621,4621,City of Kansas City Missouri,730
KCMO-502510-Health MCH Outreach-462,4622,City of Kansas City Missouri,730
KCMO-502515-Health MCH Education-46,4623,City of Kansas City Missouri,730
KCMO-502520-Health MCH Administrati,4624,City of Kansas City Missouri,730
KCMO-505003 -Health Ryan White Part,4769,City of Kansas City Missouri,730
KCMO-505003-Aids Ryan white-4609,4609,City of Kansas City Missouri,730
KCMO-505003-Health Ryan White Title,4613,City of Kansas City Missouri,730
KCMO-505005-Health KC-Life-360,4805,City of Kansas City Missouri,730
KCMO-505011-Health - HUD Lead -4728,4728,City of Kansas City Missouri,730
KCMO-505014-Cities Readiness Initia,4783,City of Kansas City Missouri,730
KCMO-505017-Home Visiting Blocks of,4799,City of Kansas City Missouri,730
KCMO-505021-Health WIC Nutrition Pr,4780,City of Kansas City Missouri,730
KCMO-505026-Affordable care Coop Ag,4785,City of Kansas City Missouri,730
KCMO-505053-Health VAWA-HOPWA,4804,City of Kansas City Missouri,730
KCMO-505067-Health Department COVID,4807,City of Kansas City Missouri,730
KCMO-505401-Health Child Lead-4585,4585,City of Kansas City Missouri,730
KCMO-505406-KC Tabacco Use Preventi,4701,City of Kansas City Missouri,730
KCMO-505409-Public Health Preparedn,4784,City of Kansas City Missouri,730
KCMO-505413-Health-HIV Prevention-4,4607,City of Kansas City Missouri,730
KCMO-505414-Sexually Transmitted Di,4749,City of Kansas City Missouri,730
KCMO-505416-Health HIV Surveillance,4782,City of Kansas City Missouri,730
KCMO-505422-Health-Preinatal Hepati,4730,City of Kansas City Missouri,730
KCMO-505424-Health-Air Quality Cont,4731,City of Kansas City Missouri,730
KCMO-505426-CYSHCN-4732,4732,City of Kansas City Missouri,730
KCMO-505428-Health Smoke Busters-47,4747,City of Kansas City Missouri,730
KCMO-505803-Health Maternal & Child,4768,City of Kansas City Missouri,730
KCMO-542020-HR Civic Rights Enforce,4775,City of Kansas City Missouri,730
KCMO-542115-Civil Rights/Equal Opp.,4776,City of Kansas City Missouri,730
KCMO-545310-Hrel Economic Developme,4773,City of Kansas City Missouri,730
KCMO-551000-Housing & Community Dev,4626,City of Kansas City Missouri,730
KCMO-552010-Housing & Comm. Dev. Sm,4627,City of Kansas City Missouri,730
KCMO-552035 ? Housing Trust Fund,4809,City of Kansas City Missouri,730
KCMO-552047 ? Central City Sales Ta,4810,City of Kansas City Missouri,730
KCMO-552300-Housing & Com. Develop,4628,City of Kansas City Missouri,730
KCMO-552390 ? Homesteading Authorit,4811,City of Kansas City Missouri,730
KCMO-552391 -  Land Bank,4812,City of Kansas City Missouri,730
KCMO-552515 ? Tenant Advocacy,4814,City of Kansas City Missouri,730
KCMO-552520 ? Paint Program,4813,City of Kansas City Missouri,730
KCMO-555201 ? ESG Grant,4815,City of Kansas City Missouri,730
KCMO-555300-CDBG Administration-475,4753,City of Kansas City Missouri,730
KCMO-555313-H&CD-Prop Pres/Emerg Ho,4764,City of Kansas City Missouri,730
KCMO-571000-N&CS HPRP Adminstration,4770,City of Kansas City Missouri,730
KCMO-571000-NHS-administration-4629,4629,City of Kansas City Missouri,730
KCMO-571002-N&CS NTDF Admin-4750,4750,City of Kansas City Missouri,730
KCMO-571100-N&CS-4630,4630,City of Kansas City Missouri,730
KCMO-571200 Action Center,4824,City of Kansas City Missouri,730
KCMO-572000-N&CS Social Services-46,4631,City of Kansas City Missouri,730
KCMO-572051-N&CS Forster Grandparen,4633,City of Kansas City Missouri,730
KCMO-572055-Senior Adult Svc. Progr,4754,City of Kansas City Missouri,730
KCMO-572061-N&CS Social Services-46,4634,City of Kansas City Missouri,730
KCMO-572090-N&CS Nutrition-4635,4635,City of Kansas City Missouri,730
KCMO-572091-N&CS Social Services-46,4636,City of Kansas City Missouri,730
KCMO-572092-N&CS Social Services-46,4637,City of Kansas City Missouri,730
KCMO-572097-N&CS Youth Services-463,4638,City of Kansas City Missouri,730
KCMO-572100-N&CS-4639,4639,City of Kansas City Missouri,730
KCMO-572210-N&CS Municipal Correcti,4640,City of Kansas City Missouri,730
KCMO-572212-N&CS-Corrections-Inmate,4733,City of Kansas City Missouri,730
KCMO-572300-N&CS Preservation-4641,4641,City of Kansas City Missouri,730
KCMO-572305-Rental Housing Enforcem,4756,City of Kansas City Missouri,730
KCMO-572325-N&CS Tow Lot-4642,4642,City of Kansas City Missouri,730
KCMO-572339-N&CS Abatement Services,4643,City of Kansas City Missouri,730
KCMO-572340-N&CS City Demolition-46,4644,City of Kansas City Missouri,730
KCMO-572362-N&CS-WEATHERIZATION-469,4696,City of Kansas City Missouri,730
KCMO-572390-N&CS Homestead Authorit,4614,City of Kansas City Missouri,730
KCMO-572391-N&CS Land Bank-4509,4509,City of Kansas City Missouri,730
KCMO-572500-N&CS Neighborhood Impro,4645,City of Kansas City Missouri,730
KCMO-572520-N&CS Paint Program-4763,4763,City of Kansas City Missouri,730
KCMO-572535-N&CS-Municipal Court Fu,4762,City of Kansas City Missouri,730
KCMO-572540-N&CS Linwood Muliti Pur,4646,City of Kansas City Missouri,730
KCMO-572600-N&CS Animal Control-464,4647,City of Kansas City Missouri,730
KCMO-572610-N&CS Animal Control (Do,4648,City of Kansas City Missouri,730
KCMO-572700-N&CS Regulated Ind.-464,4649,City of Kansas City Missouri,730
KCMO-573100-N&CS Solid Waste-4800,4800,City of Kansas City Missouri,730
KCMO-573100-Solid Waste Administrat,4662,City of Kansas City Missouri,730
KCMO-573100-Solid Waste-Code Enforc,4767,City of Kansas City Missouri,730
KCMO-575207-N&CS Child & Adult Care,4752,City of Kansas City Missouri,730
KCMO-575208-N&CS Foster Grandparent,4688,City of Kansas City Missouri,730
KCMO-575250-N&CS Weatherization-476,4761,City of Kansas City Missouri,730
KCMO-575300-N&CS-CDBG Admin (Mohart,4740,City of Kansas City Missouri,730
"A-1 Plumbing, Heating and Cooling",9502,,
KCMO-575313-N&CS Minor Home Repair-,4760,City of Kansas City Missouri,730
KCMO-575316-Senior Adult Svcs Human,4699,City of Kansas City Missouri,730
KCMO-621000-Aviation Department-465,4650,City of Kansas City Missouri,730
KCMO-621015 Information Services,4825,City of Kansas City Missouri,730
KCMO-621020 Airport Engineering,4826,City of Kansas City Missouri,730
KCMO-621030 Marketing,4827,City of Kansas City Missouri,730
KCMO-621040 Commercial Development,4828,City of Kansas City Missouri,730
KCMO-622100 Charles B. Wheeler DT A,4829,City of Kansas City Missouri,730
KCMO-622310 Airport Police,4830,City of Kansas City Missouri,730
KCMO-622320 KCI-Field Maintenance,4831,City of Kansas City Missouri,730
KCMO-631000-Special Facilities Admi,4651,City of Kansas City Missouri,730
KCMO-632000-CC Event Coordination-4,4652,City of Kansas City Missouri,730
KCMO-632004 Event Support,4832,City of Kansas City Missouri,730
KCMO-632015-City Manager Office (sp,4653,City of Kansas City Missouri,730
KCMO-641000-City Development-Admin-,4655,City of Kansas City Missouri,730
KCMO-641100 Financial Services,4833,City of Kansas City Missouri,730
KCMO-642020-City Development Centra,4656,City of Kansas City Missouri,730
KCMO-642025-CP&D-Property & Acquist,4735,City of Kansas City Missouri,730
KCMO-642040-CP&D-Urban Redevelopmen,4736,City of Kansas City Missouri,730
KCMO-642100-Development Management,4704,City of Kansas City Missouri,730
KCMO-642110-City Plan Commission-47,4759,City of Kansas City Missouri,730
