23-Jan-2026,                                       Blue Cross Blue Shield of Kansas ,,,,,,,
Weight,Priority cost,EFD price,,Priority cost,EFD Price,,Costs ,Savings
,Zone 1,Zone 1,Count ,Zone 3,Zone 3,Count ,,
1 lb,$10.20,$10.15 ,185,$10.80,$10.55 ,0,"$1,877.75",$46.25
2 lb,$11.05,$10.80 ,11,$12.45,$12.20 ,62,$875.20,$18.25
3 lb,$11.55,$11.30 ,1,$12.95,$12.70 ,30,$392.30,$7.75
4 lb,$12.45,$12.20 ,0,$13.95,$13.70 ,9,$123.30,$2.25
5 lb,$13.25,$13.00 ,0,$14.85,$14.60 ,8,$116.80,$2.00
6 lb,$13.80,$13.55 ,0,$15.25,$15.00 ,0,$0.00,$0.00
7 lb,$14.40,$14.15 ,0,$15.85,$15.60 ,0,$0.00,$0.00
8 lb,$15.05,$14.80 ,0,$16.30,$16.05 ,3,$48.15,$0.75
9 lb,$15.60,$15.35 ,0,$16.75,$16.50 ,2,$33.00,$0.50
10 lb,$16.50,$16.25 ,0,$17.80,$17.55 ,1,$17.55,$0.25
,Priority cost,,,Priority cost,EFD Price,,,
,Zone 2,Zone 2,,Zone 4,Zone 4,,,
1 lb,$10.65,$10.40 ,0,$11.00,$10.75 ,0,$0.00,$0.00
2 lb,$11.70,$11.45 ,52,$13.30,$13.05 ,26,$934.70,$19.50
3 lb,$12.30,$12.05 ,19,$14.05,$13.80 ,5,$297.95,$6.00
4 lb,$13.00,$12.75 ,11,$15.15,$14.90 ,2,$170.05,$3.25
5 lb,$13.85,$13.60 ,5,$16.20,$15.95 ,2,$99.90,$1.75
6 lb,$14.20,$13.95 ,1,$16.85,$16.60 ,2,$47.15,$0.75
7 lb,$14.85,$14.60 ,0,$17.65,$17.40 ,0,$0.00,$0.00
8 lb,$15.30,$15.05 ,3,$18.25,$18.00 ,2,$81.15,$1.25
9 lb,$15.90,$15.65 ,0,$19.30,$19.05 ,1,$19.05,$0.25
10 lb,$16.90,$16.65 ,1,$20.15,$19.90 ,0,$16.65,$0.25
,Priority cost,EFD Price,,Priority cost,EFD Price,,,
,Zone 5,Zone 5,,Zone 6,Zone 6,,,
1 lb,$12.10,$11.85 ,0,$13.30,$13.05 ,0,$0.00,$0.00
2 lb,$15.60,$15.35 ,0,$16.80,$16.55 ,0,$0.00,$0.00
3 lb,$16.70,$16.45 ,0,$19.40,$19.15 ,0,$0.00,$0.00
4 lb,$19.20,$18.95 ,0,$23.45,$23.20 ,0,$0.00,$0.00
5 lb,$20.45,$20.20 ,0,$25.00,$24.75 ,0,$0.00,$0.00
6 lb,$21.55,$21.30 ,0,$27.45,$27.20 ,0,$0.00,$0.00
7 lb,$23.25,$23.00 ,0,$29.90,$29.65 ,0,$0.00,$0.00
8 lb,$24.45,$24.20 ,0,$32.50,$32.25 ,0,$0.00,$0.00
9 lb,$25.40,$25.15 ,0,$34.90,$34.65 ,0,$0.00,$0.00
10 lb,$26.55,$26.30 ,0,$37.60,$37.35 ,0,$0.00,$0.00
,Priority cost,EFD Price,,,EFD Price,,,
,Zone 7,Zone 7,,Zone 8,Zone 8,,,
1 lb,$14.45,$14.20 ,0,15.7,15.45,0,$0.00,$0.00
2 lb,$18.00,$17.75 ,0,19.95,19.7,0,$0.00,$0.00
3 lb,$22.10,$21.85 ,0,25.1,24.85,0,$0.00,$0.00
4 lb,$26.30,$26.05 ,0,29.5,29.25,0,$0.00,$0.00
5 lb,$30.30,$30.05 ,0,34.15,33.9,0,$0.00,$0.00
6 lb,$34.25,$34.00 ,0,38.75,38.5,0,$0.00,$0.00
7 lb,$38.10,$37.85 ,0,43.3,43.05,0,$0.00,$0.00
8 lb,$42.00,$41.75 ,0,47.85,47.6,0,$0.00,$0.00
9 lb,$45.80,$45.55 ,0,52.25,52,0,$0.00,$0.00
10 lb,$49.60,$49.35 ,0,56.75,56.5,0,$0.00,$0.00
,,,289,,,155,,
,,Total Pieces,462,,,,,Total Savings
,,,,,,Total Cost:,"$5,759.20",$115.50
